Source,Target
0,316
0,625
0,2312
0,4153
0,6158
0,6371
0,6397
0,7761
1,2
1,4786
1,7569
1,7833
1,8359
2,1
2,18
2,30
2,143
2,2328
2,3265
2,3413
2,3600
2,3623
2,3745
2,3785
2,4914
2,5077
2,5488
2,5730
2,5869
2,6491
2,6510
2,7134
2,7136
2,7548
2,7717
2,8031
2,8145
2,8721
2,9583
2,9675
2,9989
2,10784
3,1026
3,1040
3,1085
3,1102
3,9314
3,10684
4,743
4,781
4,1424
4,2142
4,2424
4,3182
4,3269
4,3531
4,3794
4,4144
4,4164
4,4192
4,4753
4,5234
4,5811
4,5815
4,6345
4,6599
4,6676
4,6678
4,6682
4,7617
4,7801
4,8012
4,8246
4,8297
4,8436
5,1020
5,3901
5,4063
5,4659
5,6314
5,6330
5,7212
5,7233
5,7259
5,7312
5,10933
5,10990
6,14
6,23
6,182
6,631
6,778
6,813
6,1178
6,1185
6,1823
6,2918
6,3139
6,3157
6,3268
6,3947
6,3983
6,4144
6,4238
6,4263
6,4291
6,4672
6,4674
6,4700
6,5003
6,5256
6,5287
6,5298
6,5303
6,5335
6,5339
6,6350
6,6359
6,6379
6,6620
6,7935
6,8874
7,969
7,970
7,972
7,2162
8,266
8,359
8,1016
8,1037
8,1040
8,2295
8,7120
8,9197
8,9212
8,9252
8,9285
8,9287
8,9542
8,9551
8,9790
8,9965
8,10127
8,10519
8,10741
8,10787
9,661
9,755
9,1733
9,2784
9,3935
9,4753
9,4763
9,5811
9,5824
9,5828
9,6373
9,7913
9,8107
9,8248
9,8297
9,8545
10,2
10,32
10,3265
10,3600
10,5564
10,5566
10,7140
11,16
11,1327
12,22
12,2086
12,4757
12,6340
13,1040
13,1077
13,2273
13,7957
13,9754
13,9774
13,10122
14,633
14,1140
14,1233
14,1598
14,3519
14,6258
14,6380
14,6398
14,6402
14,6715
14,8368
14,8510
14,9169
15,152
15,698
15,4192
15,4261
15,4396
15,4735
15,6761
15,8549
16,11
16,538
16,1056
16,1327
16,1328
16,1737
16,2086
16,3236
16,4450
16,5393
16,5414
16,5730
16,6292
16,6505
16,7383
16,7384
16,7833
16,8721
16,9071
16,9394
16,9485
16,9739
16,9818
16,9870
17,795
17,7277
17,7284
18,1
18,5201
18,5575
19,858
19,2362
19,3829
19,7818
19,7824
19,8129
19,8254
19,8507
19,10009
21,512
21,7264
21,7312
21,11040
21,11207
22,12
22,93
22,826
22,1127
22,1197
22,1526
22,2086
22,2234
22,2380
22,3236
22,5730
22,7142
22,9484
23,6
23,781
23,844
23,2480
24,630
24,1233
24,6403
24,7336
24,10468
25,1737
25,2086
25,2234
25,3236
27,3255
27,3920
27,5178
27,7183
27,7191
27,7255
27,10024
27,11011
28,15
28,688
28,4672
28,5255
28,7436
29,1670
29,2229
29,2424
30,2
30,31
31,2
32,10
32,3679
32,6505
33,43
33,7761
33,10024
34,42
34,45
34,51
34,52
34,104
34,1056
34,2086
34,2467
34,3385
34,3716
34,6138
34,6332
34,11289
34,11310
35,461
35,6698
36,45
36,51
36,4923
36,6331
36,6332
37,3278
37,10840
37,10903
37,10912
37,11104
38,1477
38,1482
38,1488
38,2275
38,2472
38,2649
38,3211
38,3278
38,3288
38,3343
38,3344
38,3356
38,3699
38,3702
38,3703
38,3706
38,3732
38,3783
38,3829
38,3899
38,4209
38,4484
38,4662
38,4996
38,5205
38,6331
38,7184
38,7223
38,7225
38,7251
38,7334
38,7345
38,8870
38,10828
38,10831
38,10869
38,10892
38,10953
38,10960
39,46
39,3574
39,3747
39,4529
39,6583
39,7176
39,7274
39,10835
40,43
40,3663
40,3721
40,3735
40,11288
41,1460
41,4153
41,4626
41,5023
41,5612
41,5631
41,7725
42,35
42,45
42,1494
42,3385
42,9583
44,51
44,52
44,54
44,492
44,2487
44,3385
44,3607
44,6025
44,6256
44,6279
44,7410
45,42
45,51
45,53
45,3603
45,3613
45,4981
45,5492
45,5493
45,9887
45,10114
46,3670
46,3747
46,5168
46,5483
46,11288
47,43
47,1478
47,3736
47,7963
48,3716
48,3739
48,9286
49,3690
49,3713
50,35
50,461
50,3278
50,3701
50,6322
50,7546
50,8114
51,42
51,44
51,492
51,2485
51,3385
51,6010
51,6025
51,6138
51,6279
51,9739
52,44
52,53
52,54
52,3385
52,5506
52,7410
53,33
53,43
53,45
53,52
54,44
54,51
54,52
54,53
54,492
54,3385
54,5417
54,5486
54,6128
54,6256
54,7410
55,65
55,2518
55,3391
55,7254
55,7301
55,7619
56,1454
56,6357
56,7318
56,11023
57,4947
57,6352
57,6361
57,6375
57,11066
58,798
58,2472
58,3252
58,3278
58,3355
58,4140
58,4607
58,4617
58,5459
58,5877
58,5908
58,6610
58,7261
58,7273
58,7592
58,9953
59,58
59,63
59,3586
59,4153
59,7648
60,63
60,64
60,68
60,69
61,69
61,4948
62,69
63,67
63,69
63,201
63,1033
63,1056
63,1109
63,1140
63,1216
63,2487
63,3586
63,4462
63,5417
63,5730
63,6160
63,6256
63,6660
63,9394
64,60
64,61
64,63
64,67
64,68
64,69
64,6256
65,63
65,403
65,1266
65,3568
65,5928
65,7470
66,65
66,876
66,4683
66,5857
66,7383
66,8038
66,9169
66,9807
66,9932
66,10251
66,10775
67,61
67,63
67,69
68,60
69,67
69,68
69,9484
70,725
70,1704
70,2877
70,3311
71,5085
71,5181
71,9169
72,73
73,72
73,73
73,410
73,1166
73,1260
73,1423
73,1443
73,1495
73,1518
73,1962
73,2283
73,2649
73,2738
73,2824
73,2894
73,3007
73,3099
73,3290
73,3343
73,3384
73,3980
73,4086
73,4089
73,4126
73,4481
73,4514
73,4520
73,4559
73,4621
73,4710
73,4996
73,5009
73,5658
73,6080
73,7003
73,7156
73,7234
73,7238
73,7286
73,7330
73,7864
73,7919
73,7928
73,11003
73,11109
74,5181
75,81
75,2086
75,2467
75,3363
75,7168
76,74
76,81
76,5181
77,82
77,86
77,1308
77,1747
77,1903
77,1948
77,2014
77,2106
77,2199
77,2238
77,2311
77,2438
77,2472
77,2487
77,2563
77,2778
77,3343
77,3821
77,4133
77,4275
77,4408
77,5236
77,5714
77,5730
77,6256
77,6457
77,7058
77,7306
77,7534
77,8027
77,8284
77,10560
78,1666
78,4219
78,5014
78,7107
78,10951
79,3732
79,6780
79,7169
79,10836
79,11157
81,75
81,104
81,1140
81,1197
81,1462
81,2086
81,3267
82,1518
82,1640
82,2092
82,2274
82,2310
82,2649
82,3472
82,3568
82,3631
82,4160
82,6687
82,7018
82,7833
84,2031
84,2162
84,2301
84,9033
84,10069
85,1714
86,77
86,82
86,410
86,543
86,815
86,927
86,1260
86,1308
86,1423
86,1747
86,1903
86,1984
86,2014
86,2042
86,2061
86,2147
86,2189
86,2199
86,2213
86,2238
86,2266
86,2274
86,2431
86,2459
86,2573
86,2649
86,2659
86,2778
86,3106
86,3237
86,3343
86,3806
86,3821
86,5035
86,7003
86,7058
86,7415
86,7972
86,8202
86,9017
86,9465
86,10469
86,10560
86,10582
86,10828
87,73
87,2738
87,3007
87,4603
88,1775
88,1886
88,2083
88,2103
88,2234
88,2298
88,2380
88,2776
88,3712
88,4163
88,6786
90,104
90,1197
90,5393
90,5786
90,5821
90,9887
91,93
92,90
92,93
92,1056
92,5786
92,6138
92,9739
92,9870
93,90
93,92
93,1526
94,4753
94,7573
94,7868
96,172
96,5148
96,8152
97,104
97,118
97,177
97,1187
97,1197
98,152
98,772
98,1904
98,2297
98,3482
98,4129
98,5187
98,5195
98,5792
98,6682
98,6687
98,6688
98,6813
98,7552
98,7868
99,152
99,167
99,179
99,5212
99,5246
100,257
100,434
100,1798
100,2367
101,1221
