Id,Name,countryName,agespan,gender,occupation,industry,domain,domain2
0,Alexander i of yugoslavia,,46,Male,Politician,Government,Institutions,Government
1,Aung san,,32,Male,Politician,Government,Institutions,Government
2,Aung san suu kyi,,73,Female,Social activist,Activism,Public figure,Public figure
3,Chow yun-fat,,63,Male,Actor,Film and theatre,Arts,Arts
4,Claude makélélé,,45,Male,Soccer player,Team sports,Sports,Sports
5,Constans ii,,38,Male,Politician,Government,Institutions,Government
6,Dejan savićević,,52,Male,Soccer player,Team sports,Sports,Sports
7,François bozizé,,72,Male,Politician,Government,Institutions,Government
8,Jackie chan,,64,Male,Actor,Film and theatre,Arts,Arts
9,José bosingwa,,36,Male,Soccer player,Team sports,Sports,Sports
10,José ramos-horta,,69,Male,Politician,Government,Institutions,Government
11,Joseph kabila,,47,Male,Politician,Government,Institutions,Government
12,Léon m'ba,,65,Male,Politician,Government,Institutions,Government
13,Leslie cheung,,47,Male,Musician,Music,Arts,Arts
14,Milo đukanović,,56,Male,Politician,Government,Institutions,Government
15,Mirko vučinić,,35,Male,Soccer player,Team sports,Sports,Sports
16,Mobutu sese seko,,67,Male,Politician,Government,Institutions,Government
17,Mustafa iii,,56,Male,Politician,Government,Institutions,Government
18,Ne win,,91,Male,Politician,Government,Institutions,Government
19,Nick drake,,26,Male,Musician,Music,Arts,Arts
20,Niels ryberg finsen,,44,Male,Physician,Medicine,Science & technology,Science & technology
21,Nikephoros i,,61,Male,Politician,Government,Institutions,Government
22,Omar bongo,,74,Male,Politician,Government,Institutions,Government
23,Predrag mijatović,,49,Male,Soccer player,Team sports,Sports,Sports
24,Radovan karadžić,,73,Male,Politician,Government,Institutions,Government
25,Raymond barre,,83,Male,Economist,Social sciences,Science & technology,Science & technology
26,Roland garros,,30,Male,Pilot,Military,Institutions,Army
27,Stefan nemanja,,82,Male,Politician,Government,Institutions,Government
28,Stevan jovetić,,29,Male,Soccer player,Team sports,Sports,Sports
29,Steve mandanda,,33,Male,Soccer player,Team sports,Sports,Sports
30,Than shwe,,85,Male,Politician,Government,Institutions,Government
31,Thein sein,,73,Male,Politician,Government,Institutions,Government
32,Xanana gusmão,,72,Male,Politician,Government,Institutions,Government
33,Abdur rahman khan,Afghanistan,57,Male,Politician,Government,Institutions,Government
34,Ahmed shah massoud,Afghanistan,48,Male,Politician,Government,Institutions,Government
35,Jami,Afghanistan,78,Male,Writer,Language,Humanities,Humanities
36,Mohammed omar,Afghanistan,54,Male,Politician,Government,Institutions,Government
37,Roxana,Afghanistan,34,Female,Companion,Companions,Public figure,Public figure
38,Zoroaster,Afghanistan,100,Male,Writer,Language,Humanities,Humanities
39,Abbas i of persia,Afghanistan,58,Male,Politician,Government,Institutions,Government
40,Ahmed shah abdali,Afghanistan,50,Male,Politician,Government,Institutions,Government
41,Amānullāh khān,Afghanistan,68,Male,Politician,Government,Institutions,Government
42,Burhanuddin rabbani,Afghanistan,71,Male,Politician,Government,Institutions,Government
43,Dost mohammad khan,Afghanistan,70,Male,Politician,Government,Institutions,Government
44,Hafizullah amin,Afghanistan,50,Male,Politician,Government,Institutions,Government
45,Hamid karzai,Afghanistan,61,Male,Politician,Government,Institutions,Government
46,Humayun,Afghanistan,48,Male,Politician,Government,Institutions,Government
47,Jamal al-din al-afghani,Afghanistan,59,Male,Social activist,Activism,Public figure,Public figure
48,Khaled hosseini,Afghanistan,53,Male,Writer,Language,Humanities,Humanities
49,Mahmud of ghazni,Afghanistan,59,Male,Politician,Government,Institutions,Government
50,Mir ali shir nava'i,Afghanistan,60,Male,Writer,Language,Humanities,Humanities
51,Mohammad najibullah,Afghanistan,49,Male,Physician,Medicine,Science & technology,Science & technology
52,Mohammed daoud khan,Afghanistan,69,Male,Politician,Government,Institutions,Government
53,Mohammed zahir shah,Afghanistan,92,Male,Politician,Government,Institutions,Government
54,Nur muhammad taraki,Afghanistan,62,Male,Politician,Government,Institutions,Government
55,Ali pasha,Albania,82,Male,Politician,Government,Institutions,Government
56,Anastasius i,Albania,88,Male,Politician,Government,Institutions,Government
57,Flavius valerius severus,Albania,57,Male,Politician,Government,Institutions,Government
58,Skanderbeg,Albania,63,Male,Politician,Government,Institutions,Government
59,Zog of albania,Albania,66,Male,Politician,Government,Institutions,Government
60,Alfred moisiu,Albania,89,Male,Politician,Government,Institutions,Government
61,Bamir topi,Albania,61,Male,Politician,Government,Institutions,Government
62,Bujar nishani,Albania,52,Male,Politician,Government,Institutions,Government
63,Enver hoxha,Albania,77,Male,Politician,Government,Institutions,Government
64,Fatos nano,Albania,66,Male,Politician,Government,Institutions,Government
65,Ismail kadare,Albania,82,Male,Writer,Language,Humanities,Humanities
66,Masiela lusha,Albania,33,Female,Actor,Film and theatre,Arts,Arts
67,Ramiz alia,Albania,86,Male,Politician,Government,Institutions,Government
68,Rexhep meidani,Albania,74,Male,Politician,Government,Institutions,Government
69,Sali berisha,Albania,74,Male,Politician,Government,Institutions,Government
70,Sotiris ninis,Albania,28,Male,Soccer player,Team sports,Sports,Sports
71,Ahmed ouyahia,Algeria,66,Male,Politician,Government,Institutions,Government
72,Apuleius,Algeria,50,Male,Writer,Language,Humanities,Humanities
73,Augustine of hippo,Algeria,76,Male,Philosopher,Philosophy,Humanities,Humanities
74,Chadli bendjedid,Algeria,83,Male,Politician,Government,Institutions,Government
75,Ferhat abbas,Algeria,86,Male,Politician,Government,Institutions,Government
76,Houari boumédienne,Algeria,46,Male,Politician,Government,Institutions,Government
77,Louis althusser,Algeria,72,Male,Philosopher,Philosophy,Humanities,Humanities
78,Macrinus,Algeria,53,Male,Politician,Government,Institutions,Government
79,Tariq ibn-ziyad,Algeria,48,Male,Military personnel,Military,Institutions,Army
81,Ahmed ben bella,Algeria,94,Male,Politician,Government,Institutions,Government
82,Albert camus,Algeria,47,Male,Writer,Language,Humanities,Humanities
84,Claude cohen-tannoudji,Algeria,85,Male,Physicist,Natural sciences,Science & technology,Science & technology
85,Daniel auteuil,Algeria,68,Male,Actor,Film and theatre,Arts,Arts
86,Jacques derrida,Algeria,74,Male,Philosopher,Philosophy,Humanities,Humanities
87,Monica of hippo,Algeria,56,Female,Religious figure,Religion,Institutions,Religion
88,Yves saint-laurent,Algeria,72,Male,Fashion designer,Design,Arts,Arts
90,Agostinho neto,Angola,57,Male,Politician,Government,Institutions,Government
91,Fernando da piedade dias dos santos,Angola,68,Male,Politician,Government,Institutions,Government
92,Jonas savimbi,Angola,68,Male,Social activist,Activism,Public figure,Public figure
93,José eduardo dos santos,Angola,76,Male,Politician,Government,Institutions,Government
94,Manucho gonçalves,Angola,35,Male,Soccer player,Team sports,Sports,Sports
96,Adolfo bioy casares,Argentina,85,Male,Writer,Language,Humanities,Humanities
97,Alberto granado,Argentina,89,Male,Companion,Companions,Public figure,Public figure
98,Alfredo di stéfano,Argentina,92,Male,Soccer player,Team sports,Sports,Sports
99,Ariel ortega,Argentina,44,Male,Soccer player,Team sports,Sports,Sports
100,Bérénice bejo,Argentina,42,Female,Actor,Film and theatre,Arts,Arts
101,Bernardo houssay,Argentina,84,Male,Physician,Medicine,Science & technology,Science & technology
102,César milstein,Argentina,75,Male,Biologist,Natural sciences,Science & technology,Science & technology
103,César pelli,Argentina,92,Male,Architect,Design,Arts,Arts
104,Che guevara,Argentina,39,Male,Social activist,Activism,Public figure,Public figure
105,Claudio lópez,Argentina,44,Male,Soccer player,Team sports,Sports,Sports
106,Daniel barenboim,Argentina,76,Male,Conductor,Music,Arts,Arts
107,Eduardo duhalde,Argentina,77,Male,Politician,Government,Institutions,Government
108,Emiliano insua,Argentina,29,Male,Soccer player,Team sports,Sports,Sports
109,Éver banega,Argentina,30,Male,Soccer player,Team sports,Sports,Sports
110,Ezequiel garay,Argentina,32,Male,Soccer player,Team sports,Sports,Sports
111,Ezequiel iván lavezzi,Argentina,33,Male,Soccer player,Team sports,Sports,Sports
112,Fernando de la rúa,Argentina,81,Male,Politician,Government,Institutions,Government
113,Gastón gaudio,Argentina,40,Male,Tennis player,Individual sport,Sports,Sports
114,Gisela dulko,Argentina,33,Female,Tennis player,Individual sport,Sports,Sports
115,Guillermo cañas,Argentina,41,Male,Tennis player,Individual sport,Sports,Sports
116,Guillermo coria,Argentina,36,Male,Tennis player,Individual sport,Sports,Sports
117,Guillermo vilas,Argentina,66,Male,Tennis player,Individual sport,Sports,Sports
118,Hipólito yrigoyen,Argentina,81,Male,Politician,Government,Institutions,Government
119,Javier pastore,Argentina,29,Male,Soccer player,Team sports,Sports,Sports
120,Jonás gutiérrez,Argentina,35,Male,Soccer player,Team sports,Sports,Sports
121,Jorge rafael videla,Argentina,88,Male,Politician,Government,Institutions,Government
122,Jorge valdano,Argentina,63,Male,Coach,Team sports,Sports,Sports
123,José de san martín,Argentina,72,Male,Military personnel,Military,Institutions,Army
124,Juan mónaco,Argentina,34,Male,Tennis player,Individual sport,Sports,Sports
125,Leo franco,Argentina,41,Male,Soccer player,Team sports,Sports,Sports
126,Lisandro lópez,Argentina,35,Male,Soccer player,Team sports,Sports,Sports
127,Lucas barrios,Argentina,34,Male,Soccer player,Team sports,Sports,Sports
128,Manu ginóbili,Argentina,41,Male,Basketball player,Team sports,Sports,Sports
129,Manuel belgrano,Argentina,50,Male,Politician,Government,Institutions,Government
130,Marcelo bielsa,Argentina,63,Male,Coach,Team sports,Sports,Sports
131,Maxi lópez,Argentina,34,Male,Soccer player,Team sports,Sports,Sports
132,Mercedes sosa,Argentina,74,Female,Singer,Music,Arts,Arts
133,Nicolás burdisso,Argentina,37,Male,Soccer player,Team sports,Sports,Sports
134,Omar sivori,Argentina,83,Male,Soccer player,Team sports,Sports,Sports
135,Pablo zabaleta,Argentina,33,Male,Soccer player,Team sports,Sports,Sports
136,Princess máxima of the netherlands,Argentina,47,Female,Companion,Companions,Public figure,Public figure
137,Reynaldo bignone,Argentina,90,Male,Politician,Government,Institutions,Government
138,Roberto abbondanzieri,Argentina,46,Male,Soccer player,Team sports,Sports,Sports
139,Rodrigo palacio,Argentina,36,Male,Soccer player,Team sports,Sports,Sports
140,Sergio romero,Argentina,31,Male,Soccer player,Team sports,Sports,Sports
141,Walter samuel,Argentina,40,Male,Soccer player,Team sports,Sports,Sports
142,Carlos menem,Argentina,88,Male,Politician,Government,Institutions,Government
143,Adolfo pérez esquivel,Argentina,87,Male,Social activist,Activism,Public figure,Public figure
144,Ángel di maría,Argentina,30,Male,Soccer player,Team sports,Sports,Sports
145,Ástor piazzolla,Argentina,71,Male,Composer,Music,Arts,Arts
147,Carlos tévez,Argentina,34,Male,Soccer player,Team sports,Sports,Sports
148,Claudio caniggia,Argentina,51,Male,Soccer player,Team sports,Sports,Sports
149,Cristina fernández de kirchner,Argentina,65,Female,Politician,Government,Institutions,Government
150,Daniel passarella,Argentina,65,Male,Soccer player,Team sports,Sports,Sports
151,David nalbandian,Argentina,36,Male,Tennis player,Individual sport,Sports,Sports
152,Diego maradona,Argentina,58,Male,Soccer player,Team sports,Sports,Sports
153,Diego milito,Argentina,39,Male,Soccer player,Team sports,Sports,Sports
154,Ernesto sabato,Argentina,100,Male,Writer,Language,Humanities,Humanities
155,Esteban cambiasso,Argentina,38,Male,Soccer player,Team sports,Sports,Sports
156,Eva perón,Argentina,33,Female,Politician,Government,Institutions,Government
157,Fabricio coloccini,Argentina,36,Male,Soccer player,Team sports,Sports,Sports
158,Fernando muslera,Argentina,32,Male,Soccer player,Team sports,Sports,Sports
159,Fernando redondo,Argentina,49,Male,Soccer player,Team sports,Sports,Sports
160,Fernando rubén gago,Argentina,32,Male,Soccer player,Team sports,Sports,Sports
161,Francisco varallo,Argentina,108,Male,Soccer player,Team sports,Sports,Sports
162,Gabriel batistuta,Argentina,49,Male,Soccer player,Team sports,Sports,Sports
163,Gabriel heinze,Argentina,40,Male,Soccer player,Team sports,Sports,Sports
164,Gabriel milito,Argentina,38,Male,Soccer player,Team sports,Sports,Sports
165,Gabriela sabatini,Argentina,48,Female,Tennis player,Individual sport,Sports,Sports
166,Guillermo stábile,Argentina,113,Male,Soccer player,Team sports,Sports,Sports
167,Hernán crespo,Argentina,43,Male,Soccer player,Team sports,Sports,Sports
168,Isabel martínez de perón,Argentina,87,Female,Politician,Government,Institutions,Government
169,Javier mascherano,Argentina,34,Male,Soccer player,Team sports,Sports,Sports
170,Javier saviola,Argentina,37,Male,Soccer player,Team sports,Sports,Sports
171,Javier zanetti,Argentina,45,Male,Soccer player,Team sports,Sports,Sports
172,Jorge luis borges,Argentina,87,Male,Writer,Language,Humanities,Humanities
173,Juan manuel de rosas,Argentina,84,Male,Politician,Government,Institutions,Government
174,Juan manuel fangio,Argentina,84,Male,Racecar driver,Individual sport,Sports,Sports
175,Juan martin del potro,Argentina,30,Male,Tennis player,Individual sport,Sports,Sports
176,Juan pablo sorín,Argentina,42,Male,Soccer player,Team sports,Sports,Sports
177,Juan perón,Argentina,79,Male,Politician,Government,Institutions,Government
178,Juan román riquelme,Argentina,40,Male,Soccer player,Team sports,Sports,Sports
179,Juan sebastián verón,Argentina,43,Male,Soccer player,Team sports,Sports,Sports
180,Julio ricardo cruz,Argentina,44,Male,Soccer player,Team sports,Sports,Sports
181,Leopoldo galtieri,Argentina,77,Male,Politician,Government,Institutions,Government
182,Lionel messi,Argentina,31,Male,Soccer player,Team sports,Sports,Sports
183,Luis gonzález,Argentina,37,Male,Soccer player,Team sports,Sports,Sports
184,Mario kempes,Argentina,64,Male,Soccer player,Team sports,Sports,Sports
185,Martha argerich,Argentina,77,Female,Musician,Music,Arts,Arts
186,Martin demichelis,Argentina,38,Male,Soccer player,Team sports,Sports,Sports
187,Martín palermo,Argentina,45,Male,Soccer player,Team sports,Sports,Sports
188,Mauro camoranesi,Argentina,42,Male,Soccer player,Team sports,Sports,Sports
189,Maximiliano rodríguez,Argentina,37,Male,Soccer player,Team sports,Sports,Sports
190,Néstor kirchner,Argentina,60,Male,Politician,Government,Institutions,Government
191,Nicolás otamendi,Argentina,30,Male,Soccer player,Team sports,Sports,Sports
192,Pablo aimar,Argentina,39,Male,Soccer player,Team sports,Sports,Sports
193,Raúl alfonsín,Argentina,82,Male,Politician,Government,Institutions,Government
194,Roberto ayala,Argentina,45,Male,Soccer player,Team sports,Sports,Sports
195,Sergio agüero,Argentina,30,Male,Soccer player,Team sports,Sports,Sports
196,Andranik markaryan,Armenia,56,Male,Politician,Government,Institutions,Government
197,Gregory the illuminator,Armenia,74,Male,Religious figure,Religion,Institutions,Religion
198,Levon aronian,Armenia,36,Male,Chessmaster,Individual sport,Sports,Sports
199,Philippikos,Armenia,63,Male,Politician,Government,Institutions,Government
200,Saint mesrob,Armenia,78,Male,Linguist,Language,Humanities,Humanities
201,Anastas mikoyan,Armenia,83,Male,Politician,Government,Institutions,Government
202,G. I. Gurdjieff,Armenia,83,Male,Philosopher,Philosophy,Humanities,Humanities
203,Shavo odadjian,Armenia,44,Male,Musician,Music,Arts,Arts
204,Tigran sargsyan,Armenia,58,Male,Politician,Government,Institutions,Government
205,シルショ,Armenia,31,Female,Singer,Music,Arts,Arts
207,Brett emerton,Australia,39,Male,Soccer player,Team sports,Sports,Sports
208,Brett holman,Australia,34,Male,Soccer player,Team sports,Sports,Sports
209,Casey stoner,Australia,33,Male,Racecar driver,Individual sport,Sports,Sports
210,Cate blanchett,Australia,49,Female,Actor,Film and theatre,Arts,Arts
211,Edmund barton,Australia,71,Male,Politician,Government,Institutions,Government
212,Elizabeth blackburn,Australia,70,Female,Biologist,Natural sciences,Science & technology,Science & technology
213,Elle macpherson,Australia,55,Female,Model,Media personalit,Public figure,Public figure
214,Emilie de ravin,Australia,37,Female,Actor,Film and theatre,Arts,Arts
215,Errol flynn,Australia,50,Male,Actor,Film and theatre,Arts,Arts
216,Gough whitlam,Australia,98,Male,Politician,Government,Institutions,Government
217,Harry kewell,Australia,40,Male,Soccer player,Team sports,Sports,Sports
218,Jack brabham,Australia,88,Male,Racecar driver,Individual sport,Sports,Sports
219,Jesse spencer,Australia,39,Male,Actor,Film and theatre,Arts,Arts
220,John carew eccles,Australia,94,Male,Physician,Medicine,Science & technology,Science & technology
221,John howard,Australia,79,Male,Politician,Government,Institutions,Government
222,Johnny logan,Australia,64,Male,Singer,Music,Arts,Arts
223,Josip šimunić,Australia,40,Male,Soccer player,Team sports,Sports,Sports
224,Julian assange,Australia,47,Male,Journalist,Language,Humanities,Humanities
225,"Mary, crown princess of denmark",Australia,46,Female,Companion,Companions,Public figure,Public figure
226,Paul keating,Australia,74,Male,Politician,Government,Institutions,Government
227,Robert menzies,Australia,84,Male,Politician,Government,Institutions,Government
228,Roy emerson,Australia,82,Male,Tennis player,Individual sport,Sports,Sports
